date,gross_sales,net_sales,currency,note
2025-01-01,605.05,550.59,USD,
2025-01-07,607.27,552.62,USD,
2025-01-13,609.49,554.64,USD,
2025-01-19,611.71,556.65,USD,
2025-01-25,613.93,558.68,USD,
2025-02-01,610.75,555.78,USD,
2025-02-07,612.97,557.81,USD,
2025-02-13,615.19,559.82,USD,
2025-02-19,617.41,536.84,USD,includes_adjustments
2025-02-25,619.63,563.87,USD,
2025-03-01,616.45,560.97,USD,
2025-03-07,618.67,562.99,USD,
2025-03-13,620.89,565.01,USD,
2025-03-19,623.11,567.03,USD,
2025-03-25,625.33,569.05,USD,
2025-04-01,622.15,566.16,USD,
2025-04-07,624.37,568.17,USD,
2025-04-13,626.59,570.20,USD,
2025-04-19,628.81,572.22,USD,
2025-04-25,631.03,574.23,USD,
2025-05-01,627.85,571.34,USD,
2025-05-07,630.07,532.36,USD,includes_adjustments
2025-05-13,632.29,575.39,USD,
2025-05-19,634.51,577.40,USD,
2025-05-25,636.73,579.42,USD,
2025-06-01,633.55,576.53,USD,
2025-06-07,635.77,578.55,USD,
2025-06-13,637.99,580.57,USD,
2025-06-19,640.21,582.59,USD,
2025-06-25,642.43,584.61,USD,
