date,booking_id,agency_id,agency_name,channel,gross_sales,net_sales,currency
2025-01-01,HR2025000101,AG001,Atlas Partners,Booking.com,120.95,110.07,USD
2025-01-01,HR2025000102,AG002,Beacon Agency,Expedia,112.24,102.14,USD
2025-01-01,HR2025000103,AG003,Cedar Travel,Agoda,99.53,90.57,USD
2025-01-01,HR2025000104,AG004,Drift Voyages,Hotelbeds,88.82,80.83,USD
2025-01-01,HR2025000105,AG005,Elm Holidays,WholesalerX,78.11,71.08,USD
2025-01-01,HR2025000106,DIRECT,Direct Channel,Direct,105.40,95.91,USD
2025-01-07,HR2025000201,AG001,Atlas Partners,Booking.com,121.32,110.40,USD
2025-01-07,HR2025000202,AG002,Beacon Agency,Expedia,112.61,102.48,USD
2025-01-07,HR2025000203,AG003,Cedar Travel,Agoda,99.90,90.91,USD
2025-01-07,HR2025000204,AG004,Drift Voyages,Hotelbeds,89.19,81.16,USD
2025-01-07,HR2025000205,AG005,Elm Holidays,WholesalerX,78.48,71.42,USD
2025-01-07,HR2025000206,DIRECT,Direct Channel,Direct,105.77,96.25,USD
2025-01-13,HR2025000301,AG001,Atlas Partners,Booking.com,121.69,110.74,USD
2025-01-13,HR2025000302,AG002,Beacon Agency,Expedia,112.98,102.81,USD
2025-01-13,HR2025000303,AG003,Cedar Travel,Agoda,100.27,91.25,USD
2025-01-13,HR2025000304,AG004,Drift Voyages,Hotelbeds,89.56,81.50,USD
2025-01-13,HR2025000305,AG005,Elm Holidays,WholesalerX,78.85,71.75,USD
2025-01-13,HR2025000306,DIRECT,Direct Channel,Direct,106.14,96.59,USD
2025-01-19,HR2025000401,AG001,Atlas Partners,Booking.com,122.06,111.08,USD
2025-01-19,HR2025000402,AG002,Beacon Agency,Expedia,113.35,103.15,USD
2025-01-19,HR2025000403,AG003,Cedar Travel,Agoda,100.64,91.58,USD
2025-01-19,HR2025000404,AG004,Drift Voyages,Hotelbeds,89.93,81.84,USD
2025-01-19,HR2025000405,AG005,Elm Holidays,WholesalerX,79.22,72.09,USD
2025-01-19,HR2025000406,DIRECT,Direct Channel,Direct,106.51,96.92,USD
2025-01-25,HR2025000501,AG001,Atlas Partners,Booking.com,122.43,111.41,USD
2025-01-25,HR2025000502,AG002,Beacon Agency,Expedia,113.72,103.49,USD
2025-01-25,HR2025000503,AG003,Cedar Travel,Agoda,101.01,91.92,USD
2025-01-25,HR2025000504,AG004,Drift Voyages,Hotelbeds,90.30,82.17,USD
2025-01-25,HR2025000505,AG005,Elm Holidays,WholesalerX,79.59,72.43,USD
2025-01-25,HR2025000506,DIRECT,Direct Channel,Direct,106.88,97.26,USD
