date,agency_id,agency_name,gross_sales,net_sales,currency,note
2026-01-01,AG001,Atlas Partners,133.45,121.44,USD,
2026-01-01,AG002,Beacon Agency,124.74,113.51,USD,
2026-01-01,AG003,Cedar Travel,112.03,101.95,USD,
2026-01-01,AG004,Drift Voyages,101.32,92.20,USD,
2026-01-01,AG005,Elm Holidays,90.61,82.46,USD,
2026-01-01,DIRECT,Direct Channel,117.90,107.29,USD,
2026-01-07,AG001,Atlas Partners,133.82,121.78,USD,
2026-01-07,AG002,Beacon Agency,125.11,113.85,USD,
2026-01-07,AG003,Cedar Travel,112.40,102.28,USD,
2026-01-07,AG004,Drift Voyages,101.69,92.54,USD,
2026-01-07,AG005,Elm Holidays,90.98,82.79,USD,
2026-01-07,DIRECT,Direct Channel,118.27,107.63,USD,
2026-01-13,AG001,Atlas Partners,134.19,122.11,USD,
2026-01-13,AG002,Beacon Agency,125.48,114.19,USD,
2026-01-13,AG003,Cedar Travel,112.77,102.62,USD,
2026-01-13,AG004,Drift Voyages,102.06,92.87,USD,
2026-01-13,AG005,Elm Holidays,91.35,83.13,USD,
2026-01-13,DIRECT,Direct Channel,118.64,107.96,USD,
2026-01-19,AG001,Atlas Partners,134.56,122.45,USD,
2026-01-19,AG002,Beacon Agency,125.85,114.52,USD,
2026-01-19,AG003,Cedar Travel,113.14,102.96,USD,
2026-01-19,AG004,Drift Voyages,102.43,93.21,USD,
2026-01-19,AG005,Elm Holidays,91.72,83.47,USD,
2026-01-19,DIRECT,Direct Channel,119.01,108.30,USD,
2026-01-25,AG001,Atlas Partners,134.93,122.79,USD,
2026-01-25,AG002,Beacon Agency,126.22,114.86,USD,
2026-01-25,AG003,Cedar Travel,113.51,103.29,USD,
2026-01-25,AG004,Drift Voyages,102.80,93.55,USD,
2026-01-25,AG005,Elm Holidays,92.09,83.80,USD,
2026-01-25,DIRECT,Direct Channel,119.38,108.64,USD,
2026-02-01,AG001,Atlas Partners,134.40,122.30,USD,
2026-02-01,AG002,Beacon Agency,125.69,114.38,USD,
2026-02-01,AG003,Cedar Travel,112.98,102.81,USD,
2026-02-01,AG004,Drift Voyages,102.27,93.07,USD,
2026-02-01,AG005,Elm Holidays,91.56,83.32,USD,
2026-02-01,DIRECT,Direct Channel,118.85,108.15,USD,
2026-02-07,AG001,Atlas Partners,134.77,122.64,USD,
2026-02-07,AG002,Beacon Agency,126.06,114.71,USD,
2026-02-07,AG003,Cedar Travel,113.35,103.15,USD,
2026-02-07,AG004,Drift Voyages,102.64,93.40,USD,
2026-02-07,AG005,Elm Holidays,91.93,83.66,USD,
2026-02-07,DIRECT,Direct Channel,119.22,108.49,USD,
2026-02-13,AG001,Atlas Partners,135.14,122.98,USD,
2026-02-13,AG002,Beacon Agency,126.43,115.05,USD,
2026-02-13,AG003,Cedar Travel,113.72,103.49,USD,
2026-02-13,AG004,Drift Voyages,103.01,93.74,USD,
2026-02-13,AG005,Elm Holidays,92.30,83.99,USD,
2026-02-13,DIRECT,Direct Channel,119.59,108.83,USD,
2026-02-19,AG001,Atlas Partners,135.51,123.31,USD,
2026-02-19,AG002,Beacon Agency,126.80,115.39,USD,
2026-02-19,AG003,Cedar Travel,114.09,103.82,USD,
2026-02-19,AG003,Cedar Travel,0.00,-28.00,USD,refund_adjustment
2026-02-19,AG004,Drift Voyages,103.38,94.08,USD,
2026-02-19,AG005,Elm Holidays,92.67,84.33,USD,
2026-02-19,DIRECT,Direct Channel,119.96,109.16,USD,
2026-02-25,AG001,Atlas Partners,135.88,123.65,USD,
2026-02-25,AG002,Beacon Agency,127.17,115.72,USD,
2026-02-25,AG003,Cedar Travel,114.46,104.16,USD,
2026-02-25,AG004,Drift Voyages,103.75,94.41,USD,
2026-02-25,AG005,Elm Holidays,93.04,84.67,USD,
2026-02-25,DIRECT,Direct Channel,120.33,109.50,USD,
2026-03-01,AG001,Atlas Partners,135.35,123.17,USD,
2026-03-01,AG002,Beacon Agency,126.64,115.24,USD,
2026-03-01,AG003,Cedar Travel,113.93,103.68,USD,
2026-03-01,AG004,Drift Voyages,103.22,93.93,USD,
2026-03-01,AG005,Elm Holidays,92.51,84.18,USD,
2026-03-01,DIRECT,Direct Channel,119.80,109.02,USD,
2026-03-07,AG001,Atlas Partners,135.72,123.51,USD,
2026-03-07,AG002,Beacon Agency,127.01,115.58,USD,
2026-03-07,AG003,Cedar Travel,114.30,104.01,USD,
2026-03-07,AG004,Drift Voyages,103.59,94.27,USD,
2026-03-07,AG005,Elm Holidays,92.88,84.52,USD,
2026-03-07,DIRECT,Direct Channel,120.17,109.35,USD,
2026-03-13,AG001,Atlas Partners,136.09,123.84,USD,
2026-03-13,AG002,Beacon Agency,127.38,115.92,USD,
2026-03-13,AG003,Cedar Travel,114.67,104.35,USD,
2026-03-13,AG004,Drift Voyages,103.96,94.60,USD,
2026-03-13,AG005,Elm Holidays,93.25,84.86,USD,
2026-03-13,DIRECT,Direct Channel,120.54,109.69,USD,
2026-03-19,AG001,Atlas Partners,136.46,124.18,USD,
2026-03-19,AG002,Beacon Agency,127.75,116.25,USD,
2026-03-19,AG003,Cedar Travel,115.04,104.69,USD,
2026-03-19,AG004,Drift Voyages,104.33,94.94,USD,
2026-03-19,AG005,Elm Holidays,93.62,85.19,USD,
2026-03-19,DIRECT,Direct Channel,120.91,110.03,USD,
2026-03-25,AG001,Atlas Partners,136.83,124.52,USD,
2026-03-25,AG002,Beacon Agency,128.12,116.59,USD,
2026-03-25,AG003,Cedar Travel,115.41,105.02,USD,
2026-03-25,AG004,Drift Voyages,104.70,95.28,USD,
2026-03-25,AG005,Elm Holidays,93.99,85.53,USD,
2026-03-25,DIRECT,Direct Channel,121.28,110.36,USD,
2026-04-01,AG001,Atlas Partners,136.30,124.03,USD,
2026-04-01,AG002,Beacon Agency,127.59,116.11,USD,
2026-04-01,AG003,Cedar Travel,114.88,104.54,USD,
2026-04-01,AG004,Drift Voyages,104.17,94.79,USD,
2026-04-01,AG005,Elm Holidays,93.46,85.05,USD,
2026-04-01,DIRECT,Direct Channel,120.75,109.88,USD,
